Business name,Date,Transaction Type,Num,Memo/Description,Qty,Sales Price,Amount,P.O. Number
WHEEL WORLD PR WHOLESALE,,,,,,,,
,04/25/2024,Invoice,12435,SPD-016 18*8.0 5*113 +35 GLOSS BLACK MACHINED RED CB 73.1,4,105.00  ,420.00  ,
Total for WHEEL WORLD PR WHOLESALE,,,,,,,$420.00  ,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
